Month	Total	Time	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Domestic	International
Jan-02	463357	0	1	0	0	0	0	0	0	0	0	0	0	0	333054	184087
Feb-02	502376	1	0	1	0	0	0	0	0	0	0	0	0	0	344693	157683
Mar-02	567870	2	0	0	1	0	0	0	0	0	0	0	0	0	390753	177117
Apr-02	476046	3	0	0	0	1	0	0	0	0	0	0	0	0	334611	141435
May-02	507680	4	0	0	0	0	1	0	0	0	0	0	0	0	354265	153415
Jun-02	590575	5	0	0	0	0	0	1	0	0	0	0	0	0	421851	168724
Jul-02	608284	6	0	0	0	0	0	0	1	0	0	0	0	0	440737	167547
Aug-02	617899	7	0	0	0	0	0	0	0	1	0	0	0	0	427851	190048
Sep-02	464974	8	0	0	0	0	0	0	0	0	1	0	0	0	298871	166103
Oct-02	512613	9	0	0	0	0	0	0	0	0	0	1	0	0	343987	168626
Nov-02	493521	10	0	0	0	0	0	0	0	0	0	0	1	0	328033	165488
Dec-02	568021	11	0	0	0	0	0	0	0	0	0	0	0	1	358086	209935
Jan-03	517141	12	1	0	0	0	0	0	0	0	0	0	0	0	333054	184087
Feb-03	501260	13	0	1	0	0	0	0	0	0	0	0	0	0	328519	172741
Mar-03	541156	14	0	0	1	0	0	0	0	0	0	0	0	0	385803	155353
Apr-03	479371	15	0	0	0	1	0	0	0	0	0	0	0	0	375597	103774
May-03	469905	16	0	0	0	0	1	0	0	0	0	0	0	0	360366	109539
Jun-03	551287	17	0	0	0	0	0	1	0	0	0	0	0	0	430364	120923
Jul-03	607946	18	0	0	0	0	0	0	1	0	0	0	0	0	462776	145170
Aug-03	625895	19	0	0	0	0	0	0	0	1	0	0	0	0	449761	176134
Sep-03	471000	20	0	0	0	0	0	0	0	0	1	0	0	0	309171	161829
Oct-03	504971	21	0	0	0	0	0	0	0	0	0	1	0	0	344086	160885
Nov-03	495101	22	0	0	0	0	0	0	0	0	0	0	1	0	334623	160478
Dec-03	580176	23	0	0	0	0	0	0	0	0	0	0	0	1	384535	195641
Jan-04	512186	24	1	0	0	0	0	0	0	0	0	0	0	0	342415	169771
Feb-04	531316	25	0	1	0	0	0	0	0	0	0	0	0	0	366088	165228
Mar-04	576087	26	0	0	1	0	0	0	0	0	0	0	0	0	410482	165605
Apr-04	548599	27	0	0	0	1	0	0	0	0	0	0	0	0	405833	142766
May-04	549865	28	0	0	0	0	1	0	0	0	0	0	0	0	392335	157530
Jun-04	616023	29	0	0	0	0	0	1	0	0	0	0	0	0	451369	164654
Jul-04	683006	30	0	0	0	0	0	0	1	0	0	0	0	0	504692	178314
Aug-04	645543	31	0	0	0	0	0	0	0	1	0	0	0	0	459561	185982
Sep-04	520602	32	0	0	0	0	0	0	0	0	1	0	0	0	350326	170276
Oct-04	560134	33	0	0	0	0	0	0	0	0	0	1	0	0	383576	176558
Nov-04	526661	34	0	0	0	0	0	0	0	0	0	0	1	0	365495	161166
Dec-04	622433	35	0	0	0	0	0	0	0	0	0	0	0	1	429470	192963
Jan-05	599957	36	1	0	0	0	0	0	0	0	0	0	0	0	385107	214850
Feb-05	573212	37	0	1	0	0	0	0	0	0	0	0	0	0	403552	169660
Mar-05	663693	38	0	0	1	0	0	0	0	0	0	0	0	0	480329	183364
Apr-05	531342	39	0	0	0	1	0	0	0	0	0	0	0	0	380261	151081
May-05	567476	40	0	0	0	0	1	0	0	0	0	0	0	0	409316	158160
Jun-05	651639	41	0	0	0	0	0	1	0	0	0	0	0	0	483236	168403
Jul-05	736820	42	0	0	0	0	0	0	1	0	0	0	0	0	556053	180767
Aug-05	692254	43	0	0	0	0	0	0	0	1	0	0	0	0	504553	187701
Sep-05	558990	44	0	0	0	0	0	0	0	0	1	0	0	0	383805	175185
Oct-05	591503	45	0	0	0	0	0	0	0	0	0	1	0	0	413335	178168
Nov-05	562243	46	0	0	0	0	0	0	0	0	0	0	1	0	400600	161643
Dec-05	650506	47	0	0	0	0	0	0	0	0	0	0	0	1	454951	195555
Jan-06	595753	48	1	0	0	0	0	0	0	0	0	0	0	0	409951	185802
Feb-06	573412	49	0	1	0	0	0	0	0	0	0	0	0	0	415435	157977
Mar-06	632932	50	0	0	1	0	0	0	0	0	0	0	0	0	449851	183081
Apr-06	588215	51	0	0	0	1	0	0	0	0	0	0	0	0	437708	150507
May-06	576996	52	0	0	0	0	1	0	0	0	0	0	0	0	425141	151855
Jun-06	670257	53	0	0	0	0	0	1	0	0	0	0	0	0	519386	150871
Jul-06	725683	54	0	0	0	0	0	0	1	0	0	0	0	0	564294	161389
Aug-06	688817	55	0	0	0	0	0	0	0	1	0	0	0	0	512631	176186
Sep-06	559143	56	0	0	0	0	0	0	0	0	1	0	0	0	402483	156660
Oct-06	569473	57	0	0	0	0	0	0	0	0	0	1	0	0	415577	153896
Nov-06	571552	58	0	0	0	0	0	0	0	0	0	0	1	0	414765	156787
Dec-06	662380	59	0	0	0	0	0	0	0	0	0	0	0	1	483475	178905
